orth,phon,type,Sim 1,,Sim 2 (raw),Sim 2 (sqrt),Sim 3 (RT)
comb,/kOm/,EXPT,0.146185,0.119327,0.140197,1.91,
come,/k^m/,HFE,0.054885,0.002223,0.016429,1.79,
con,/kan/,#,0.108040,0.238067,0.137234,4.19,
cone,/kOn/,#,0.061094,0.081341,0.029883,1.8,
cook,/kuk/,LFRI,0.006654,0.005351,0.001321,1.68,
cool,/kUl/,HRI,0.031828,0.002945,0.008224,1.7,
coop,/kUp/,#,0.032852,0.011313,0.021026,1.78,
cop,/kap/,#,0.012967,0.002724,0.002832,1.8,
cope,/kOp/,LRIC,0.006725,0.003271,0.020084,1.8,
cord,/kOrd/,LFRI,0.018363,0.002201,0.002457,1.63,
core,/kOr/,#,0.000659,0.001319,0.000792,1.64,
cork,/kOrk/,#,0.021188,0.036607,0.008225,1.6,
corn,/kOrn/,HFRIC,0.005910,0.001754,0.000767,1.62,
corps,/kOr/,HSTR,0.105023,0.032029,0.061891,1.95,
corpse,/kOrps/,#,0.191499,0.372150,0.199210,2.1,
cost,/kost/,#,0.096430,0.011976,0.040203,1.84,
cot,/kat/,#,0.222622,0.007831,0.017550,1.87,
couch,/kWC/,#,0.038837,0.026709,0.027749,1.92,
cough,/kof/,#,0.235162,0.127166,0.209517,2.09,
could,/kud/,#,0.076677,0.001497,0.013359,1.74,
count,/kWnt/,#,0.028198,0.010051,0.012856,1.8,
coup,/kU/,#,0.372398,0.278387,0.123265,2,
coupe,/kUp/,#,0.143215,0.175878,0.050412,2.08,
course,/kOrs/,#,0.028219,0.005039,0.006156,1.7,
court,/kOrt/,UNQ,0.070243,0.005578,0.013264,1.66,
cove,/kOv/,LFRI,0.197745,0.038112,0.075164,1.95,
cow,/kW/,#,0.071706,0.021431,0.020446,1.79,
cowl,/kWl/,#,0.261663,0.360109,0.164216,1.88,
cox,/kaks/,#,0.032722,0.013529,0.018193,1.93,
coy,/kY/,#,0.026219,0.039633,0.023998,1.92,
crab,/kr@b/,#,0.001204,0.006464,0.005334,1.71,
crack,/kr@k/,#,0.002182,0.006400,0.001257,1.61,
craft,/kr@ft/,#,0.019716,0.001541,0.001612,1.6,
crag,/kr@g/,#,0.017672,0.043957,0.013061,3.55,
cram,/kr@m/,#,0.016202,0.007246,0.002007,1.54,
cramp,/kr@mp/,LFRI,0.004554,0.005801,0.004811,1.62,
crane,/krAn/,#,0.016209,0.008124,0.000955,1.74,
crank,/kr@Nk/,#,0.003247,0.009049,0.002496,1.51,
crap,/kr@p/,#,0.004265,0.001542,0.001816,1.68,
crash,/kr@S/,#,0.002946,0.004068,0.001306,1.64,
crass,/kr@s/,#,0.000678,0.002770,0.000648,1.6,
crate,/krAt/,#,0.012884,0.046928,0.002316,1.73,
crave,/krAv/,#,0.044066,0.132545,0.025237,2,
crawl,/krol/,#,0.004075,0.001687,0.001197,1.57,
craze,/krAz/,#,0.033015,0.012199,0.067219,1.8,
creak,/krEk/,#,0.003256,0.084873,0.101226,1.66,
cream,/krEm/,#,0.012592,0.003048,0.002681,1.53,
crease,/krEs/,#,0.076557,0.312336,0.097298,2.28,
creche,/kreS/,#,0.429780,0.482040,0.240926,2.45,
creed,/krEd/,#,0.010150,0.001643,0.002139,1.56,
creek,/krEk/,#,0.000413,0.003162,0.001818,1.56,
creep,/krEp/,#,0.004949,0.001687,0.003027,1.61,
crepe,/krAp/,#,0.161791,0.587909,0.179625,2.1,
crept,/krept/,#,0.020063,0.009367,0.001634,1.63,
crest,/krest/,#,0.010250,0.013095,0.006574,1.64,
crew,/krU/,#,0.003778,0.005207,0.002849,1.66,
crib,/krib/,#,0.049460,0.084777,0.060131,1.85,
crime,/krIm/,#,0.003187,0.004960,0.005148,1.61,
crisp,/krisp/,#,0.011675,0.008556,0.022249,1.83,
croak,/krOk/,#,0.001025,0.007918,0.001046,1.59,
crock,/krak/,#,0.051255,0.006045,0.025370,1.76,
crone,/krOn/,#,0.007643,0.007363,0.001992,1.63,
crook,/kruk/,#,0.061337,0.039830,0.046548,1.78,
croon,/krUn/,#,0.026383,0.005144,0.026812,1.63,
crop,/krap/,#,0.012407,0.002476,0.008551,1.88,
cross,/kros/,#,0.024521,0.006645,0.005571,1.8,
crouch,/krWC/,#,0.025332,0.038355,0.021988,1.89,
crow,/krO/,#,0.897540,0.365944,0.122160,2.22,
crowd,/krWd/,#,0.056751,0.010946,0.003216,1.88,
crown,/krWn/,#,0.069024,0.046035,0.033549,1.85,
crude,/krUd/,#,0.032224,0.013203,0.035585,1.88,
cruise,/krUz/,#,0.117844,0.044788,0.070613,3.98,
crumb,/kr^m/,#,0.012401,0.017351,0.004497,1.54,
crunch,/kr^nC/,#,0.020189,0.009290,0.003168,1.84,
crush,/kr^S/,#,0.015856,0.008379,0.002369,1.81,
crust,/kr^st/,#,0.033448,0.003350,0.002073,1.63,
crutch,/kr^C/,#,0.005764,0.006262,0.012652,2.16,
crux,/kr^ks/,#,0.023748,0.063335,0.047935,1.81,
cry,/krI/,#,0.010072,0.001563,0.004419,1.79,
crypt,/kript/,#,0.089830,0.164164,0.016411,1.92,
cub,/k^b/,REG,0.004032,0.003815,0.012573,1.69,
cube,/kyUb/,#,0.186935,0.368291,0.097413,1.93,
cud,/k^d/,#,0.019111,0.163675,0.009452,1.86,
cue,/kyU/,#,0.045175,0.023636,0.029658,1.65,
cuff,/k^f/,#,0.005009,0.001143,0.002530,1.7,
cull,/k^l/,#,0.136348,0.250225,0.062710,1.74,
cult,/k^lt/,#,0.030140,0.022933,0.035533,1.73,
cup,/k^p/,#,0.009664,0.010692,0.002440,1.64,
cur,/kur/,#,0.023677,0.006579,0.004232,1.63,
curb,/kurb/,#,0.006074,0.018474,0.013860,1.77,
curd,/kurd/,#,0.003201,0.005676,0.001791,1.63,
cure,/kyur/,#,0.138072,0.063026,0.051523,1.99,
curl,/kurl/,#,0.073803,0.031867,0.012179,1.65,
curse,/kurs/,#,0.012104,0.050507,0.015218,1.91,
curt,/kurt/,#,0.004099,0.007063,0.001569,1.64,
curve,/kurv/,UNQ,0.008350,0.013015,0.020733,1.9,
cusp,/k^sp/,UNQ,0.041470,0.036867,0.020815,1.82,
cut,/k^t/,#,0.032792,0.002794,0.005953,1.61,
cute,/kyUt/,#,0.089108,0.149262,0.055628,1.97,
cyst,/sist/,#,0.209080,1.472329,0.153577,2.1,
czar,/zar/,#,0.077412,0.304410,0.065988,1.78,
dad,/d@d/,#,0.004627,0.007296,0.001603,1.6,
dale,/dAl/,#,0.102873,0.014437,0.025977,1.92,
dam,/d@m/,#,0.049306,0.001688,0.003338,1.67,
dame,/dAm/,#,0.003555,0.003023,0.002324,1.57,
damn,/d@m/,#,0.075516,0.009052,0.026328,1.66,
damp,/d@mp/,#,0.005601,0.011998,0.007060,1.54,
dance,/d@ns/,#,0.020396,0.008393,0.003079,1.8,
dane,/dAn/,#,0.009799,0.003499,0.047640,1.75,
dang,/d@N/,#,0.011164,0.020444,0.009731,1.66,
dank,/d@Nk/,#,0.004065,0.004295,0.000317,1.54,
dare,/dAr/,LFRI,0.056293,0.018745,0.026312,1.78,
dark,/dark/,HEC,0.003749,0.002309,0.002365,1.6,
darn,/darn/,#,0.076035,0.003372,0.052209,1.65,
dart,/dart/,#,0.015926,0.016199,0.048780,1.59,
dash,/d@S/,#,0.013889,0.012966,0.001806,1.68,
date,/dAt/,#,0.013088,0.001247,0.003523,1.72,
daunt,/dont/,#,0.322738,0.343132,0.147734,2.1,
dawn,/don/,#,0.004372,0.003638,0.001317,1.52,
day,/dA/,#,0.000778,0.000064,0.000113,1.49,
days,/dAz/,HRI,0.014483,0.001202,0.005799,1.65,
daze,/dAz/,#,0.016584,0.001487,0.015953,1.78,
dead,/ded/,#,0.018093,0.006292,0.004134,1.57,
deaf,/def/,LFEEXPT,0.101103,0.059132,0.060555,1.76,
deal,/dEl/,#,0.037207,0.006981,0.007501,1.69,
dealt,/delt/,#,0.059062,0.011297,0.019460,1.68,
dean,/dEn/,#,0.049743,0.031531,0.016953,1.71,
dear,/dEr/,HRI,0.048941,0.011487,0.039900,1.73,
dearth,/durT/,#,0.111858,0.006192,0.022319,1.81,
death,/deT/,#,0.018715,0.003175,0.011225,1.71,
debt,/det/,LSTR,0.036044,0.030900,0.003904,1.75,
deck,/dek/,#,0.000882,0.000338,0.000577,1.52,
deed,/dEd/,LEC,0.005298,0.000223,0.008360,1.55,
deem,/dEm/,#,0.003284,0.001794,0.004633,1.48,
deep,/dEp/,#,0.009190,0.001927,0.002392,1.56,
deer,/dEr/,#,0.001915,0.000428,0.000472,1.58,
deft,/deft/,#,0.027675,0.013857,0.043110,1.64,
dell,/del/,#,0.012986,0.000816,0.001039,1.55,
den,/den/,#,0.001148,0.000523,0.004001,1.53,
dense,/dens/,#,0.010434,0.015160,0.006969,1.74,
dent,/dent/,#,0.003936,0.004579,0.010067,1.55,
depth,/depT/,#,0.021283,0.001803,0.006677,1.65,
desk,/desk/,#,0.011171,0.004291,0.004344,1.57,
dew,/dU/,#,0.002744,0.000375,0.001972,1.55,
dial,/dIl/,#,0.156326,0.372657,0.089438,1.63,
dice,/dIs/,CON,0.008889,0.014819,0.022136,1.83,
dick,/dik/,#,0.001399,0.000625,0.000800,1.61,
did,/did/,HEC,0.030147,0.001025,0.003769,1.69,
die,/dI/,#,0.010858,0.001111,0.003621,1.59,
died,/dId/,#,0.022842,0.004722,0.001839,1.6,
dig,/dig/,#,0.003911,0.001196,0.001018,1.61,
dike,/dIk/,REG,0.009527,0.000650,0.003256,1.67,
dill,/dil/,#,0.000795,0.000120,0.000748,1.56,
dim,/dim/,#,0.012698,0.002385,0.001336,1.54,
dime,/dIm/,LRIC,0.002804,0.000573,0.003707,1.52,
din,/din/,#,0.039369,0.029327,0.012326,1.66,
dine,/dIn/,#,0.005877,0.013011,0.003768,1.68,
dint,/dint/,#,0.023713,0.075119,0.033700,1.71,
dip,/dip/,#,0.001513,0.005228,0.007932,1.65,
dire,/dIr/,#,0.006382,0.000865,0.001795,1.72,
dirge,/durj/,#,0.036192,0.166151,0.043007,2.03,
dirt,/durt/,#,0.012306,0.002784,0.018438,1.68,
disc,/disk/,#,0.029957,0.036229,0.060442,1.83,
dish,/diS/,#,0.008094,0.002477,0.001529,1.75,
disk,/disk/,#,0.001926,0.003932,0.002486,1.64,
ditch,/diC/,#,0.007325,0.002261,0.026463,1.79,
dive,/dIv/,#,0.015423,0.006342,0.007670,1.8,
do,/dU/,HFE,0.088401,0.002075,0.011997,1.83,
dock,/dak/,REG,0.008442,0.002217,0.000302,1.69,
dodge,/daj/,#,0.041620,0.012870,0.027570,2.04,
doe,/dO/,#,0.189664,0.064087,0.112951,1.81,
does,/d^z/,HFE,0.046878,0.001637,0.008142,1.61,
dog,/dog/,REG,0.031166,0.017283,0.029423,1.82,
dole,/dOl/,#,0.089109,0.023236,0.017803,1.77,
doll,/dal/,LFE,0.047579,0.085792,0.045325,1.74,
dome,/dOm/,#,0.124610,0.032444,0.013135,1.76,
done,/d^n/,HFE,0.091689,0.005657,0.029875,1.79,
doom,/dUm/,#,0.005189,0.002218,0.005369,1.51,
door,/dOr/,#,0.012612,0.002829,0.015793,1.71,
dope,/dOp/,#,0.022379,0.006453,0.010889,1.8,
dork,/dOrk/,#,0.023572,0.015330,0.010268,1.65,
dorm,/dOrm/,#,0.082732,0.019922,0.022946,1.53,
dose,/dOs/,#,0.245074,0.279854,0.103195,1.89,
dost,/d^st/,#,0.304931,0.597574,0.100972,3.44,
dot,/dat/,#,0.056326,0.031142,0.001477,1.85,
dots,/dats/,LEC,0.055859,0.039975,0.026098,2.01,
doubt,/dWt/,HSTRUNQ,0.022256,0.002510,0.005990,1.75,
dough,/dO/,EXPT,0.219385,0.110348,0.151843,2.04,
dour,/dWr/,#,0.154533,0.114981,0.055162,1.71,
douse,/dWs/,#,0.095443,0.097360,0.049927,1.65,
dove,/dOv/,homg,1.325359,1.087829,1.336814,2.41,
*dove,/d^v/,homg,1.621816,1.817241,1.444461,2.41,
dow,/dW/,#,0.011472,0.028237,0.009488,1.63,
down,/dWn/,#,0.010246,0.000593,0.006238,1.68,
drab,/dr@b/,#,0.022179,0.024881,0.027573,1.78,
draft,/dr@ft/,#,0.018597,0.005701,0.011890,1.75,
drag,/dr@g/,#,0.005957,0.008713,0.013307,1.7,
drain,/drAn/,CON,0.013280,0.001554,0.003801,1.62,
drake,/drAk/,#,0.024209,0.004561,0.007137,1.74,
dram,/dr@m/,#,0.014581,0.002606,0.000472,1.63,
drank,/dr@Nk/,#,0.010656,0.005127,0.003323,1.59,
drape,/drAp/,#,0.027703,0.004959,0.015019,1.74,
draught,/dr@ft/,#,0.466852,0.312707,0.200041,2.87,
draw,/dro/,HFRIC,0.042541,0.001870,0.003289,1.64,
drawl,/drol/,LSTR,0.001797,0.000335,0.000877,1.66,
drawn,/dron/,#,0.008974,0.010106,0.001496,1.59,
dread,/dred/,#,0.022238,0.003967,0.013720,1.69,
dream,/drEm/,#,0.034303,0.004523,0.014408,1.62,
dreamt,/dremt/,#,0.097161,0.003434,0.031640,1.79,
dress,/dres/,#,0.000895,0.000376,0.000479,1.58,
drew,/drU/,#,0.000676,0.000250,0.000763,1.57,
dried,/drId/,#,0.013494,0.009535,0.006836,1.67,
drift,/drift/,#,0.029288,0.014875,0.011257,1.82,
drill,/dril/,#,0.001468,0.000591,0.001196,1.62,
drink,/driNk/,#,0.008205,0.001692,0.001367,1.62,
drip,/drip/,#,0.003861,0.005393,0.010016,1.68,
drive,/drIv/,#,0.013651,0.003978,0.005322,1.8,
drone,/drOn/,#,0.235132,0.073650,0.048167,1.75,
drool,/drUl/,#,0.152334,0.002321,0.048847,1.67,
droop,/drUp/,#,0.000466,0.004990,0.003385,1.67,
drop,/drap/,#,0.025736,0.005616,0.010933,1.79,
dross,/dros/,#,0.035469,0.060385,0.014145,1.82,
drought,/drWt/,#,0.237720,0.226739,0.130598,2.16,
drove,/drOv/,#,0.018471,0.007314,0.017057,1.78,
drown,/drWn/,#,0.044888,0.011348,0.008376,1.72,
drugs,/dr^gz/,REG,0.062073,0.029704,0.038805,1.93,
drum,/dr^m/,#,0.037606,0.025421,0.025462,1.62,
drunk,/dr^Nk/,#,0.003391,0.009162,0.002306,1.72,
dry,/drI/,#,0.002878,0.001181,0.000339,1.64,
dub,/d^b/,#,0.012621,0.019555,0.023644,1.85,
duck,/d^k/,#,0.001150,0.000090,0.000634,1.62,
duct,/d^kt/,UNQ,0.139374,0.294438,0.078840,1.74,
dud,/d^d/,#,0.002292,0.001909,0.001815,1.55,
due,/dU/,#,0.003552,0.001416,0.009319,1.57,
duel,/dUl/,#,0.046026,0.007736,0.015542,1.67,
dug,/d^g/,#,0.003064,0.007676,0.002965,1.59,
duke,/dUk/,#,0.053524,0.026189,0.052466,1.88,
dull,/d^l/,#,0.002175,0.000522,0.017127,1.58,
dumb,/d^m/,#,0.003463,0.015487,0.004099,1.54,
dump,/d^mp/,#,0.003226,0.016601,0.001031,1.58,
dun,/d^n/,#,0.009551,0.028072,0.077707,1.71,
dune,/dUn/,#,0.130364,0.538555,0.087196,1.84,
dung,/d^N/,#,0.007280,0.014573,0.014329,1.69,
dunk,/d^Nk/,#,0.003015,0.007298,0.000273,1.56,
dusk,/d^sk/,#,0.005190,0.002422,0.003043,1.53,
dust,/d^st/,HFRIC,0.003957,0.001075,0.000827,1.62,
dwarf,/dwOrf/,#,0.118498,0.038121,0.082223,1.9,
dwell,/dwel/,#,0.039909,0.037525,0.003311,1.73,
dwelt,/dwelt/,#,0.005486,0.004567,0.008128,1.75,
dyke,/dIk/,LSTR,0.005884,0.001517,0.032872,1.78,
each,/EC/,#,0.006154,0.000993,0.005303,1.86,
ear,/Er/,#,0.058730,0.012186,0.018642,1.73,
earl,/url/,#,0.115386,0.098591,0.045884,1.88,
earn,/urn/,#,0.029285,0.055345,0.013047,1.96,
earth,/urT/,#,0.032034,0.003560,0.025763,1.82,
ease,/Ez/,#,0.192568,0.060248,0.076688,1.86,
east,/Est/,#,0.004451,0.002000,0.005784,1.7,
eat,/Et/,#,0.006688,0.000709,0.000669,1.65,
eave,/Ev/,#,0.005633,0.001717,0.001468,1.8,
ebb,/eb/,#,0.021832,0.042181,0.038745,1.83,
edge,/ej/,#,0.006730,0.001636,0.007091,1.72,
eel,/El/,#,0.006219,0.001099,0.011693,1.6,
egg,/eg/,LSTR,0.005107,0.002797,0.004834,1.63,
eight,/At/,#,0.056323,0.014365,0.022260,1.62,
eighth,/AtT/,#,0.044068,0.016642,0.032861,1.83,
elk,/elk/,#,0.002884,0.023091,0.042990,1.77,
elm,/elm/,#,0.021237,0.018072,0.017102,1.56,
else,/els/,#,0.015029,0.002970,0.017860,1.79,
end,/end/,#,0.001569,0.000165,0.000207,1.56,
err,/ur/,#,0.007611,0.000444,0.000355,1.62,
eve,/Ev/,#,0.110132,0.060280,0.053508,1.87,
ewe,/yU/,#,0.057075,0.068280,0.003966,1.78,
face,/fAs/,#,0.021956,0.002936,0.008302,1.8,
fact,/f@kt/,HEC,0.011982,0.000777,0.006397,1.66,
fad,/f@d/,#,0.002207,0.000532,0.001753,1.55,
fade,/fAd/,LEC,0.011571,0.002998,0.045839,1.73,
fail,/fAl/,#,0.005200,0.001879,0.002061,1.49,
faint,/fAnt/,#,0.013669,0.001343,0.004557,1.52,
fair,/fAr/,#,0.007295,0.000377,0.000370,1.45,
faith,/fAT/,#,0.006884,0.001642,0.006985,1.68,
fake,/fAk/,#,0.018641,0.000685,0.001907,1.65,
fall,/fol/,#,0.002634,0.002819,0.005125,3.36,
false,/fols/,#,0.076024,0.055293,0.073906,1.88,
fame,/fAm/,#,0.004139,0.000502,0.000888,1.52,
fan,/f@n/,#,0.001923,0.000175,0.000649,1.49,
fang,/f@N/,#,0.015005,0.079342,0.028905,1.65,
far,/far/,#,0.005292,0.000553,0.000977,1.55,
farce,/fars/,#,0.103353,0.192598,0.138312,1.9,
fare,/fAr/,#,0.205383,0.073269,0.100432,1.74,
farm,/farm/,#,0.020353,0.000646,0.000455,1.57,
fast,/f@st/,HFRIC,0.011510,0.001909,0.011796,1.64,
fat,/f@t/,#,0.014181,0.003067,0.011691,1.71,
fate,/fAt/,#,0.001190,0.005004,0.002771,1.58,
fault,/folt/,#,0.030778,0.001454,0.001803,1.54,
fawn,/fon/,LRIC,0.002221,0.002760,0.004008,1.45,
fay,/fA/,#,0.007612,0.000036,0.007875,1.48,
faze,/fAz/,#,0.001921,0.004770,0.006542,1.68,
fear,/fEr/,#,0.016495,0.003948,0.017804,1.59,
feast,/fEst/,#,0.034712,0.002237,0.028373,1.76,
feat,/fEt/,#,0.023808,0.000477,0.000727,1.57,
fed,/fed/,#,0.000693,0.000334,0.000985,1.5,
fee,/fE/,#,0.002168,0.000033,0.000804,1.48,
feed,/fEd/,#,0.004937,0.000353,0.001641,1.5,
feel,/fEl/,#,0.001256,0.000088,0.000960,1.51,
feet,/fEt/,HFRIC,0.000717,0.000058,0.000280,1.48,
feint,/fAnt/,#,0.046171,0.042576,0.062501,1.69,
fell,/fel/,#,0.000599,0.001671,0.008862,1.54,
felt,/felt/,#,0.002713,0.000112,0.001892,1.54,
fen,/fen/,#,0.002341,0.008235,0.000672,1.45,
fence,/fens/,#,0.040823,0.003768,0.005811,1.62,
fend,/fend/,#,0.002203,0.001168,0.001311,1.53,
fern,/furn/,REG,0.002101,0.000873,0.004890,1.49,
fetch,/feC/,#,0.043584,0.026767,0.024782,1.83,
fete,/fet/,#,0.131450,0.122580,0.075717,1.82,
feud,/fyUd/,#,0.092987,0.039278,0.032809,1.71,
few,/fyU/,#,0.013691,0.001077,0.003900,1.62,
fiche,/fES/,#,0.231368,0.391567,0.102605,2.07,
field,/fEld/,#,0.022775,0.000741,0.013751,1.7,
fiend,/fEnd/,#,0.176062,0.240512,0.042509,1.82,
fierce,/fErs/,#,0.022551,0.023890,0.009699,1.63,
fife,/fIf/,#,0.022167,0.007244,0.010963,1.86,
fifth,/fifT/,#,0.022094,0.006782,0.011657,1.84,
fig,/fig/,#,0.004858,0.002202,0.008255,1.62,
fight,/fIt/,#,0.006222,0.001118,0.000747,1.61,
file,/fIl/,#,0.001448,0.000832,0.000994,1.72,
fill,/fil/,CON,0.001239,0.000543,0.000736,1.54,
film,/film/,HSTRUNQ,0.006626,0.003028,0.001604,1.56,
filth,/filT/,#,0.012545,0.008743,0.024344,1.82,
fin,/fin/,#,0.056043,0.022702,0.014625,1.56,
find,/fInd/,#,0.031813,0.001069,0.001820,1.58,
fine,/fIn/,HFRIC,0.003929,0.000511,0.005011,1.54,
fink,/fiNk/,#,0.021338,0.004760,0.001410,1.65,
fir,/fur/,#,0.007333,0.000758,0.049343,1.58,
fire,/fIr/,#,0.007123,0.000982,0.002929,1.68,
firm,/furm/,#,0.000892,0.000633,0.003189,1.46,
first,/furst/,#,0.003310,0.000288,0.001171,1.55,
fish,/fiS/,HFRIC,0.004414,0.002350,0.001358,1.64,
fist,/fist/,#,0.005792,0.001755,0.002471,1.66,
fit,/fit/,#,0.001303,0.003277,0.003932,1.6,
five,/fIv/,HRI,0.022927,0.002176,0.008701,1.76,
fix,/fiks/,#,0.002536,0.020841,0.002371,1.79,
fixed,/fikst/,#,0.042885,0.012342,0.016503,1.74,
flack,/fl@k/,#,0.002517,0.016192,0.004589,1.6,
flag,/fl@g/,#,0.017219,0.005807,0.007005,1.64,
flail,/flAl/,#,0.018893,0.050042,0.014027,1.64,
flair,/flAr/,#,0.008582,0.000745,0.006063,1.64,
flake,/flAk/,#,0.018235,0.002228,0.010894,1.69,
flame,/flAm/,#,0.003379,0.006181,0.000728,1.57,
flange,/fl@nj/,#,0.160287,0.463545,0.112452,2.17,
flank,/fl@Nk/,#,0.024751,0.001191,0.021272,1.56,
flare,/flAr/,#,0.021084,0.006003,0.036019,1.76,
flash,/fl@S/,#,0.018241,0.002714,0.003199,1.65,
flask,/fl@sk/,#,0.020739,0.006782,0.009037,1.93,
flat,/fl@t/,HRI,0.003844,0.003308,0.007357,1.63,
flaunt,/flont/,#,0.478030,0.379005,0.168383,2.43,
flaw,/flo/,#,0.000225,0.000198,0.000320,1.52,
flax,/fl@ks/,#,0.008778,0.036224,0.006042,1.75,
flays,/flAz/,#,0.041560,0.035760,0.011901,1.7,
flea,/flE/,#,0.001374,0.000210,0.000506,1.55,
fleck,/flek/,#,0.003960,0.007060,0.001241,1.56,
fled,/fled/,#,0.005154,0.000794,0.000563,1.51,
flee,/flE/,#,0.000469,0.000128,0.000174,1.5,
fleet,/flEt/,#,0.000132,0.000332,0.000725,1.54,
flesh,/fleS/,#,0.002994,0.005115,0.009502,1.68,
flew,/flU/,HRI,0.013008,0.002035,0.003313,1.65,
flex,/fleks/,#,0.015637,0.046088,0.020301,3.51,
flick,/flik/,#,0.010561,0.022054,0.003580,1.65,
flight,/flIt/,#,0.001560,0.001429,0.001421,1.54,
fling,/fliN/,#,0.007144,0.008448,0.007654,1.58,
flint,/flint/,#,0.065926,0.054168,0.020252,1.64,
flip,/flip/,#,0.001552,0.028809,0.004215,1.75,
flirt,/flurt/,#,0.003436,0.010759,0.005252,1.65,
float,/flOt/,LEC,0.008444,0.006510,0.002278,1.6,
flock,/flak/,#,0.013198,0.002860,0.001086,1.87,
floe,/flO/,#,0.026653,0.004811,0.004979,1.65,
flog,/flog/,#,0.009533,0.005540,0.010642,1.69,
flood,/fl^d/,LFE,0.115320,0.063239,0.111037,1.94,
floor,/flOr/,#,0.040051,0.004005,0.011781,1.68,
flop,/flap/,#,0.041134,0.113301,0.008718,1.92,
floss,/flos/,#,0.003678,0.007552,0.041669,1.76,
flour,/flWr/,#,0.230251,0.078098,0.120227,1.78,
flow,/flO/,#,0.033786,0.013823,0.029491,1.65,
flown,/flOn/,#,0.069473,0.104553,0.015576,1.63,
flu,/flU/,#,0.163771,0.161564,0.077582,1.63,
fluff,/fl^f/,#,0.012524,0.059298,0.025224,1.75,
fluke,/flUk/,#,0.066807,0.088771,0.026892,1.83,
flung,/fl^N/,#,0.007548,0.024237,0.010392,1.63,
flush,/fl^S/,#,0.018210,0.013107,0.021291,1.73,
flute,/flUt/,#,0.019965,0.009659,0.041605,1.77,
flux,/fl^ks/,#,0.031272,0.010980,0.007213,1.76,
fly,/flI/,#,0.001767,0.001428,0.006390,1.55,
foal,/fOl/,#,0.007288,0.020342,0.021970,1.55,
foam,/fOm/,#,0.002017,0.002644,0.004965,1.52,
foe,/fO/,#,0.006159,0.002586,0.007670,1.57,
fog,/fog/,#,0.025763,0.006552,0.007945,1.79,
foil,/fYl/,#,0.016715,0.002699,0.007510,1.68,
foist,/fYst/,#,0.029076,0.009330,0.035221,1.8,
fold,/fOld/,REG,0.013776,0.002568,0.037499,1.69,
folk,/fOk/,#,0.088223,0.033641,0.066001,1.88,
fond,/fand/,#,0.016954,0.018319,0.023245,1.93,
font,/fant/,EXPT,0.734264,0.190032,0.186405,2.18,
food,/fUd/,#,0.112592,0.011258,0.046912,1.68,
fool,/fUl/,#,0.017428,0.009660,0.002309,1.68,
foot,/fut/,HFE,0.146621,0.031813,0.029407,1.7,
for,/fOr/,#,0.000411,0.000041,0.000264,1.5,
force,/fOrs/,HSTR,0.020192,0.001027,0.003296,1.65,
ford,/fOrd/,#,0.002709,0.000331,0.000528,1.6,
fore,/fOr/,REG,0.000898,0.000152,0.000554,1.59,
forge,/fOrj/,#,0.019823,0.023879,0.021636,1.76,
fork,/fOrk/,#,0.006028,0.003017,0.001041,1.56,
form,/fOrm/,HRI,0.005219,0.000944,0.001132,1.49,
fort,/fOrt/,#,0.020049,0.000921,0.005613,1.57,
forth,/fOrT/,#,0.013942,0.000539,0.001459,1.69,
fought,/fot/,#,0.019751,0.002792,0.002557,1.65,
foul,/fWl/,#,0.228798,0.081528,0.122910,2.04,
found,/fWnd/,#,0.007562,0.000570,0.004898,1.7,
four,/fOr/,#,0.113376,0.002912,0.030502,1.67,
fourth,/fOrT/,#,0.046023,0.005521,0.016062,1.68,
fowl,/fWl/,LFRI,0.061227,0.218135,0.080069,1.79,
fox,/faks/,#,0.019515,0.038852,0.008081,1.81,
frail,/frAl/,#,0.005414,0.003828,0.000772,1.61,
frame,/frAm/,#,0.002539,0.000988,0.001793,1.56,
frank,/fr@Nk/,#,0.007155,0.005644,0.006280,1.52,
frappe,/fr@p/,LSTR,0.138555,0.719818,0.103731,1.84,
fraud,/frod/,STR,0.019459,0.039973,0.056467,1.92,
fray,/frA/,#,0.010808,0.000480,0.004141,1.63,
freak,/frEk/,#,0.077650,0.027688,0.030466,1.77,
free,/frE/,#,0.008198,0.000342,0.004232,1.52,
freed,/frEd/,#,0.026843,0.000903,0.001006,1.56,
freeze,/frEz/,#,0.015263,0.002048,0.002499,1.59,
freight,/frAt/,#,0.035892,0.016863,0.027954,1.77,
french,/frenC/,#,0.019533,0.001896,0.003934,1.77,
fresh,/freS/,#,0.003254,0.001627,0.001946,1.74,
fret,/fret/,#,0.002771,0.000596,0.000329,1.51,
fried,/frId/,#,0.088011,0.173656,0.081575,1.88,
friend,/frend/,HSTR,0.084054,0.006151,0.018946,1.75,
frieze,/frEz/,#,0.024563,0.028498,0.026904,1.75,
fright,/frIt/,#,0.045378,0.000662,0.014614,1.71,
frill,/fril/,#,0.000997,0.004271,0.000623,1.63,
fringe,/frinj/,#,0.053204,0.030144,0.087008,1.86,
frock,/frak/,#,0.029029,0.015678,0.044808,1.87,
frog,/frog/,#,0.011589,0.058603,0.041157,1.92,
from,/fr^m/,#,0.027529,0.000518,0.004014,1.61,
front,/fr^nt/,HSTR,0.060076,0.005765,0.024248,1.67,
frost,/frost/,#,0.083623,0.123152,0.132597,1.89,
froth,/froT/,#,0.124015,0.091864,0.023011,2.09,
